time,open,high,low,close,K,D
2016-05-31T09:30:00-04:00,19.46,19.54,19.4,19.49,99.99999999999999,99.99999999999999
2016-06-01T09:30:00-04:00,19.5196,19.5196,19.5196,19.5196,99.99999999999999,99.99999999999999
2016-06-02T09:30:00-04:00,19.65,19.76,19.65,19.7422,99.99999999999999,99.99999999999999
2016-06-03T09:30:00-04:00,19.587,19.62,19.52,19.57,94.98281932427193,98.32760644142395
2016-06-06T09:30:00-04:00,19.7101,19.92,19.7101,19.92,94.98281932427193,96.65521288284793
2016-06-07T09:30:00-04:00,19.99,20.01,19.85,19.93,94.98281932427193,94.98281932427192
2016-06-08T09:30:00-04:00,19.89,19.92,19.89,19.92,99.6847385041843,96.55012571757602
2016-06-09T09:30:00-04:00,19.65,19.71,19.6299,19.6299,88.82301819531533,94.4968586745905
2016-06-10T09:30:00-04:00,19.6,19.6,19.6,19.6,74.97682548403819,87.82819406117926
2016-06-13T09:30:00-04:00,19.59,19.59,19.3,19.31,41.95875364652054,68.58619910862465
2016-06-14T09:30:00-04:00,19.43,19.43,19.14,19.24,19.487140622056174,45.47423991753826
2016-06-15T09:30:00-04:00,19.42,19.42,19.4,19.4,6.496832807604927,22.647575692060517
2016-06-16T09:30:00-04:00,19.4199,19.4199,19.4199,19.4199,13.800951917276038,13.261641782312381
2016-06-17T09:30:00-04:00,19.5,19.57,19.5,19.57,27.18484141393768,15.827542046272882
2016-06-20T09:30:00-04:00,19.68,19.91,19.67,19.67,37.96958139593401,26.318458242382576
2016-06-21T09:30:00-04:00,19.4904,19.61,19.4904,19.58,42.900167734732214,36.018196848201306
2016-06-22T09:30:00-04:00,19.4384,19.4384,19.4384,19.4384,34.08955719515513,38.319768775273786
2016-06-23T09:30:00-04:00,19.47,19.68,19.47,19.62,29.375641700309686,35.455122210065674
2016-06-24T09:30:00-04:00,19.21,19.21,18.95,18.96,17.140936251840362,26.868711715768395
2016-06-27T09:30:00-04:00,18.34,18.39,18.25,18.26,12.567657294755827,19.694745082301957
2016-06-28T09:30:00-04:00,18.6595,18.6978,18.6595,18.6978,10.934724610155662,13.547772718917285
2016-06-29T09:30:00-04:00,19.1605,19.1605,19.1605,19.1605,31.56205380594543,18.354811903618973
2016-06-30T09:30:00-04:00,19.17,19.29,19.17,19.29,54.61332793213766,32.37003544941292
2016-07-01T09:30:00-04:00,19.4505,19.4505,19.4505,19.4505,69.69886567527051,51.95808247111787
2016-07-05T09:30:00-04:00,19.21,19.3,19.21,19.2477,70.89687379667502,65.0696891346944
2016-07-06T09:30:00-04:00,19.42,19.42,19.19,19.19,68.48481929135546,69.693519587767
2016-07-07T09:30:00-04:00,19.62,19.62,19.62,19.62,71.41452842769603,70.26540717190885
2016-07-08T09:30:00-04:00,20.0295,20.0295,20.0295,20.0295,82.92252444383509,74.27395738762887
2016-07-11T09:30:00-04:00,20.18,20.2028,20.11,20.11,95.61663815629576,83.31789700927563
2016-07-12T09:30:00-04:00,20.4,20.46,20.4,20.46,100,92.84638753337696
2016-07-13T09:30:00-04:00,20.62,20.62,20.48,20.48,100,98.53887938543191
2016-07-14T09:30:00-04:00,20.285,20.285,20.285,20.285,95.88509187847518,98.62836395949171
2016-07-15T09:30:00-04:00,20.28,20.2952,20.22,20.2952,91.90331646948572,95.92946944932028
2016-07-18T09:30:00-04:00,20.4722,20.4722,20.4722,20.4722,89.66279530288097,92.4837345502806
2016-07-19T09:30:00-04:00,20.0896,20.0896,20.0896,20.0896,74.60916436582495,85.39175871273055
2016-07-20T09:30:00-04:00,20.3001,20.416,20.3001,20.416,68.30237421971422,77.52477796280671
2016-07-21T09:30:00-04:00,20.3447,20.38,20.3447,20.38,58.792682525269605,67.23474037026959
2016-07-22T09:30:00-04:00,20.135,20.135,20.135,20.135,56.46953127241745,61.188196005800414
2016-07-25T09:30:00-04:00,20.1,20.125,20.1,20.125,44.873739824512406,53.378651207399805
2016-07-26T09:30:00-04:00,20.34,20.34,20.34,20.34,33.65757577222594,45.00028228971859
2016-07-27T09:30:00-04:00,20.44,20.5168,20.44,20.5168,40.148647934012644,39.559987843583656
2016-07-28T09:30:00-04:00,20.7,20.7,20.7,20.7,54.82818981680514,42.87813784101456
2016-07-29T09:30:00-04:00,20.5858,20.59,20.5858,20.59,62.671104229849256,52.54931399355567
2016-08-01T09:30:00-04:00,20.71,20.71,20.6314,20.6314,64.47968104066102,60.65965836243847
2016-08-02T09:30:00-04:00,20.154,20.2132,20.154,20.2132,38.35116282754041,55.16731603268355
2016-08-03T09:30:00-04:00,20.43,20.43,20.43,20.43,30.382949804487723,44.40459789089638
2016-08-04T09:30:00-04:00,20.7497,20.7497,20.6799,20.6799,31.202553304284077,33.31222197877073
2016-08-05T09:30:00-04:00,20.832,20.832,20.832,20.832,60.011177462080774,40.53222685695085
2016-08-08T09:30:00-04:00,20.9096,20.9096,20.9,20.9,81.45054564083499,57.55475880239994
2016-08-09T09:30:00-04:00,20.8997,20.8997,20.8997,20.8997,92.1479423778224,77.86988849357938
2016-08-10T09:30:00-04:00,20.9435,20.955,20.93,20.931,96.47244739769513,90.02364513878418
2016-08-11T09:30:00-04:00,21.105,21.105,21.105,21.105,98.12475474228533,95.5817148392676
2016-08-12T09:30:00-04:00,21.1805,21.1805,21.1801,21.1801,99.79979584433607,98.13233266143884
2016-08-16T09:30:00-04:00,21.42,21.42,21.3,21.33,99.99999999999999,99.30818352887378
2016-08-17T09:30:00-04:00,21.164,21.164,21.164,21.164,89.98305868386005,96.59428484273202
2016-08-18T09:30:00-04:00,21.225,21.225,21.225,21.225,81.93560633684297,90.63955500690099
2016-08-19T09:30:00-04:00,21.0804,21.0804,21.0804,21.0804,65.25888209341856,79.05918237137386
2016-08-22T09:30:00-04:00,21.1201,21.1662,21.1201,21.1662,61.74665716524547,69.64704853183567
2016-08-23T09:30:00-04:00,21.3495,21.3495,21.2682,21.2682,57.2547638431102,61.42010103392474
2016-08-24T09:30:00-04:00,21.3699,21.3699,21.24,21.24,53.102291532239896,57.367904180198515
2016-08-25T09:30:00-04:00,20.9699,20.9699,20.92,20.92,33.298124443219585,47.88505993952322
2016-08-26T09:30:00-04:00,20.8895,20.8895,20.8895,20.8895,12.504136779038602,32.96818425149935
2016-08-29T09:30:00-04:00,21.06,21.06,21.037,21.0392,7.140028505738467,17.647429909332214
2016-08-30T09:30:00-04:00,20.835,20.835,20.835,20.835,7.14002850573847,8.928064596838505
2016-08-31T09:30:00-04:00,20.87,20.87,20.6136,20.6136,7.14002850573847,7.140028505738459
2016-09-01T09:30:00-04:00,20.4696,20.4696,20.4696,20.4696,-2.6053233644537006e-14,4.760019003825628
2016-09-02T09:30:00-04:00,20.63,20.6926,20.62,20.6926,7.222045560125561,4.787358021954668
2016-09-06T09:30:00-04:00,21.169,21.169,21.169,21.169,29.99863686000241,12.406894140042647
2016-09-07T09:30:00-04:00,21.26,21.2765,21.26,21.2765,55.458557476691134,30.893079965606365
2016-09-08T09:30:00-04:00,21.2733,21.28,21.27,21.2787,74.82721043815057,53.42813492494804
2016-09-09T09:30:00-04:00,20.97,20.98,20.97,20.98,67.3153625467403,65.86704348719401
2016-09-13T09:30:00-04:00,20.58,20.61,20.58,20.6068,45.68807482920149,62.61021593803079
2016-09-14T09:30:00-04:00,20.72,20.72,20.72,20.72,26.99682700388155,46.66675479327446
2016-09-15T09:30:00-04:00,20.96,21.2,20.96,21.2,38.12480126806937,36.93656770038413
2016-09-19T09:30:00-04:00,21.3796,21.3796,21.3796,21.3796,65.98378563843686,43.70180463679592
2016-09-20T09:30:00-04:00,21.45,21.45,21.45,21.45,91.4176682755051,65.17541839400377
2016-09-21T09:30:00-04:00,21.3641,21.3641,21.25,21.25,89.9276385006669,82.44303080486962
